,Accuracy,MSE,RMSE,MAE
random forest,0.933,6.456,2.541,2.238
linear regression,0.785,16.888,4.11,3.563
support vector machine,0.22,33.546,5.792,4.673
decision tree,0.908,8.997,2.999,2.555
